Stichtag,unter 6, 6 - 15, 15 - 18, 18 - 25, 25 - 45, 45 - 60, 60 -  65, 65 - 75,75 und mehr
12/31/1992, 212 714, 330 474, 96 927, 296 904,1 161 718, 724 944, 152 751, 233 583, 246 876
12/31/1993, 205 698, 335 982, 100 660, 283 852,1 175 689, 732 191, 151 741, 242 289, 233 319
12/31/1994, 189 438, 339 299, 103 749, 269 559,1 179 919, 732 890, 161 524, 247 414, 228 492
12/31/1995, 178 275, 338 202, 107 900, 263 079,1 177 515, 732 485, 172 966, 246 230, 229 387
12/31/1996, 169 255, 334 837, 111 085, 258 725,1 169 222, 726 570, 185 570, 245 419, 227 961
12/31/1997, 166 132, 321 380, 112 063, 259 204,1 144 987, 715 105, 199 648, 245 001, 224 381
12/31/1998, 163 856, 307 158, 109 694, 267 034,1 124 512, 703 648, 214 140, 248 334, 219 859
12/31/1999, 164 867, 294 859, 107 429, 274 458,1 108 933, 690 812, 221 984, 260 525, 217 020
12/31/2000, 165 351, 282 279, 105 383, 282 127,1 097 981, 676 348, 230 699, 273 138, 217 926
12/31/2001, 166 405, 271 355, 105 201, 289 729,1 095 709, 662 887, 240 554, 286 234, 219 158
12/31/2002, 166 881, 260 657, 106 095, 294 281,1 090 269, 656 946, 240 954, 300 363, 219 802
12/31/2003, 166 181, 250 558, 106 607, 295 659,1 082 072, 651 142, 241 471, 314 610, 221 942
12/31/2004, 165 216, 242 173, 105 657, 295 443,1 077 202, 653 928, 236 619, 331 103, 225 767
12/31/2005, 166 535, 234 913, 103 590, 294 927,1 073 614, 667 533, 220 311, 348 249, 229 764
12/31/2006, 167 117, 233 389, 95 087, 294 660,1 069 230, 691 097, 194 629, 370 572, 233 024
12/31/2007, 170 136, 232 816, 86 889, 294 093,1 058 259, 706 262, 185 891, 384 460, 235 052
12/31/2008, 173 832, 233 775, 78 584, 295 040,1 046 757, 721 306, 177 748, 398 114, 237 687
12/31/2009, 178 581, 235 576, 76 005, 291 531,1 033 694, 731 030, 175 136, 400 565, 247 554
12/31/2010, 182 927, 239 243, 75 001, 287 383,1 029 521, 738 637, 185 009, 391 068, 258 773
12/31/2011, 188 030, 241 745, 76 137, 282 612,1 040 118, 750 391, 197 115, 378 698, 272 268
12/31/2012, 192 578, 244 555, 78 337, 276 459,1 057 696, 760 822, 200 966, 371 938, 286 270
12/31/2013, 195 935, 249 949, 80 324, 268 817,1 079 278, 772 817, 203 465, 365 847, 300 992
12/31/2014, 200 333, 256 460, 81 533, 259 859,1 098 163, 779 756, 203 085, 360 605, 322 372
12/31/2015, 209 258, 264 907, 83 271, 254 607,1 121 905, 784 587, 200 789, 354 699, 336 133
12/31/2016, 216 644, 274 553, 85 817, 261 310,1 142 410, 789 010, 200 946, 345 791, 354 141
12/31/2017, 222 105, 280 132, 86 083, 263 487,1 160 601, 788 035, 202 314, 342 448, 366 725
12/31/2018, 224 611, 286 606, 85 672, 266 421,1 180 501, 783 917, 205 035, 337 091, 378 294
12/31/2019, 226 223, 291 703, 87 172, 266 927,1 190 592, 775 263, 210 109, 334 622, 386 884
